 ,000001 CH Equity,BG/ LN Equity,BHI US Equity,NEM US Equity,BKG LN Equity,ETP US Equity,FDS US Equity,XL US Equity,HIK LN Equity,FGR FP Equity,TLT US Equity,PPC US Equity,HLBK MK Equity,530 HK Equity,SGEN US Equity,ICICIBC IN Equity,NLY US Equity,ULTA US Equity,GALP PL Equity,T CN Equity,RLGY US Equity,IWD US Equity,PAGP US Equity,AAPL US Equity,ZURN VX Equity,TRN IM Equity,600023 CH Equity,ZBH US Equity,FTI US Equity,LEG US Equity
000001 CH Equity,1000,-232,299,-362,524,159,512,469,535,493,203,577,202,659,377,619,-368,483,60,446,-52,577,-137,420,434,509,805,584,-75,546
BG/ LN Equity,-232,1000,-58,376,-172,-54,167,-514,-17,-607,152,-496,343,-286,135,-4,306,-48,714,-57,79,-168,354,221,-505,72,-291,-233,633,-81
BHI US Equity,299,-58,1000,3,74,536,6,664,-13,561,-368,610,-141,132,-32,293,20,28,350,170,61,395,767,-72,720,5,7,315,98,22
NEM US Equity,-362,376,3,1000,-773,-94,-529,-215,-671,-283,-396,-524,-457,-596,-634,-471,856,-507,411,-658,-335,-661,-433,-544,-239,-592,-394,-674,-112,-629
BKG LN Equity,524,-172,74,-773,1000,33,862,377,883,368,661,588,734,665,852,699,-870,858,-174,926,-209,885,-529,820,211,858,489,869,258,904
ETP US Equity,159,-54,536,-94,33,1000,-27,443,7,174,-257,456,91,99,-19,424,44,-144,84,180,663,273,943,14,570,-85,122,204,432,-23
FDS US Equity,512,167,6,-529,862,-27,1000,140,938,155,755,377,813,621,871,771,-720,930,56,882,-501,810,-603,940,18,918,477,815,361,950
XL US Equity,469,-514,664,-215,377,443,140,1000,125,838,-143,832,-34,295,99,353,-223,569,-154,398,-228,568,-325,35,828,146,624,498,-145,245
HIK LN Equity,535,-17,-13,-671,883,7,938,125,1000,200,746,472,748,677,837,788,-802,867,-38,871,-364,820,-365,894,63,942,362,860,282,948
FGR FP Equity,493,-607,561,-283,368,174,155,838,200,1000,-174,785,-189,325,105,240,-305,526,-161,303,-689,521,-788,-27,719,269,-143,527,-442,294
TLT US Equity,203,152,-368,-396,661,-257,755,-143,746,-174,1000,93,776,420,700,492,-580,802,-114,728,-518,517,-555,836,-274,660,68,553,315,731
PPC US Equity,577,-496,610,-524,588,456,377,832,472,785,93,1000,150,494,324,585,-520,562,-132,593,-161,781,302,297,775,448,-3,769,-35,502
HLBK MK Equity,202,343,-141,-457,734,91,813,-34,748,-189,776,150,1000,349,837,672,-573,761,124,821,430,653,560,889,-171,720,-236,614,716,750
530 HK Equity,659,-286,132,-596,665,99,621,295,677,325,420,494,349,1000,421,590,-603,501,-279,589,117,593,51,578,299,597,656,630,-49,633
SGEN US Equity,377,135,-32,-634,852,-19,871,99,837,105,700,324,837,421,1000,665,-779,887,55,871,-428,808,-264,872,9,810,-25,771,463,867
ICICIBC IN Equity,619,-4,293,-471,699,424,771,353,788,240,492,585,672,590,665,1000,-505,630,161,786,18,811,479,767,365,729,384,775,440,766
NLY US Equity,-368,306,20,856,-870,44,-720,-223,-802,-305,-580,-520,-573,-603,-779,-505,1000,-753,339,-794,283,-764,480,-697,-143,-738,-515,-788,-125,-797
ULTA US Equity,483,-48,28,-507,858,-144,930,569,867,526,802,562,761,501,887,630,-753,1000,-92,886,-767,844,-797,886,166,859,19,847,171,929
GALP PL Equity,60,714,350,411,-174,84,56,-154,-38,-161,-114,-132,124,-279,55,161,339,-92,1000,-67,-320,21,22,36,-68,78,-512,-41,434,-58
T CN Equity,446,-57,170,-658,926,180,882,398,871,303,728,593,821,589,871,786,-794,886,-67,1000,-367,929,-229,882,254,821,370,899,419,905
RLGY US Equity,-52,79,61,-335,-209,663,-501,-228,-364,-689,-518,-161,430,117,-428,18,283,-767,-320,-367,1000,-411,724,-368,321,-542,432,-425,595,-493
IWD US Equity,577,-168,395,-661,885,273,810,568,820,521,517,781,653,593,808,811,-764,844,21,929,-411,1000,-136,760,496,801,129,964,313,873
PAGP US Equity,-137,354,767,-433,-529,943,-603,-325,-365,-788,-555,302,560,51,-264,479,480,-797,22,-229,724,-136,1000,-153,646,-799,103,-260,861,-604
AAPL US Equity,420,221,-72,-544,820,14,940,35,894,-27,836,297,889,578,872,767,-697,886,36,882,-368,760,-153,1000,-45,825,629,750,493,879
ZURN VX Equity,434,-505,720,-239,211,570,18,828,63,719,-274,775,-171,299,9,365,-143,166,-68,254,321,496,646,-45,1000,47,412,442,-137,147
TRN IM Equity,509,72,5,-592,858,-85,918,146,942,269,660,448,720,597,810,729,-738,859,78,821,-542,801,-799,825,47,1000,60,836,247,930
600023 CH Equity,805,-291,7,-394,489,122,477,624,362,-143,68,-3,-236,656,-25,384,-515,19,-512,370,432,129,103,629,412,60,1000,88,-202,366
ZBH US Equity,584,-233,315,-674,869,204,815,498,860,527,553,769,614,630,771,775,-788,847,-41,899,-425,964,-260,750,442,836,88,1000,203,894
FTI US Equity,-75,633,98,-112,258,432,361,-145,282,-442,315,-35,716,-49,463,440,-125,171,434,419,595,313,861,493,-137,247,-202,203,1000,240
LEG US Equity,546,-81,22,-629,904,-23,950,245,948,294,731,502,750,633,867,766,-797,929,-58,905,-493,873,-604,879,147,930,366,894,240,1000
