 ,000001 CH Equity,BG/ LN Equity,BHI US Equity,NEM US Equity,BKG LN Equity,ETP US Equity,FDS US Equity,XL US Equity,HIK LN Equity,FGR FP Equity,TLT US Equity,PPC US Equity,HLBK MK Equity,530 HK Equity,SGEN US Equity,ICICIBC IN Equity,NLY US Equity,ULTA US Equity,GALP PL Equity,T CN Equity
000001 CH Equity,1000,-232,299,-362,524,159,512,469,535,493,203,577,202,659,377,619,-368,483,60,446
BG/ LN Equity,-232,1000,-58,376,-172,-54,167,-514,-17,-607,152,-496,343,-286,135,-4,306,-48,714,-57
BHI US Equity,299,-58,1000,3,74,536,6,664,-13,561,-368,610,-141,132,-32,293,20,28,350,170
NEM US Equity,-362,376,3,1000,-773,-94,-529,-215,-671,-283,-396,-524,-457,-596,-634,-471,856,-507,411,-658
BKG LN Equity,524,-172,74,-773,1000,33,862,377,883,368,661,588,734,665,852,699,-870,858,-174,926
ETP US Equity,159,-54,536,-94,33,1000,-27,443,7,174,-257,456,91,99,-19,424,44,-144,84,180
FDS US Equity,512,167,6,-529,862,-27,1000,140,938,155,755,377,813,621,871,771,-720,930,56,882
XL US Equity,469,-514,664,-215,377,443,140,1000,125,838,-143,832,-34,295,99,353,-223,569,-154,398
HIK LN Equity,535,-17,-13,-671,883,7,938,125,1000,200,746,472,748,677,837,788,-802,867,-38,871
FGR FP Equity,493,-607,561,-283,368,174,155,838,200,1000,-174,785,-189,325,105,240,-305,526,-161,303
TLT US Equity,203,152,-368,-396,661,-257,755,-143,746,-174,1000,93,776,420,700,492,-580,802,-114,728
PPC US Equity,577,-496,610,-524,588,456,377,832,472,785,93,1000,150,494,324,585,-520,562,-132,593
HLBK MK Equity,202,343,-141,-457,734,91,813,-34,748,-189,776,150,1000,349,837,672,-573,761,124,821
530 HK Equity,659,-286,132,-596,665,99,621,295,677,325,420,494,349,1000,421,590,-603,501,-279,589
SGEN US Equity,377,135,-32,-634,852,-19,871,99,837,105,700,324,837,421,1000,665,-779,887,55,871
ICICIBC IN Equity,619,-4,293,-471,699,424,771,353,788,240,492,585,672,590,665,1000,-505,630,161,786
NLY US Equity,-368,306,20,856,-870,44,-720,-223,-802,-305,-580,-520,-573,-603,-779,-505,1000,-753,339,-794
ULTA US Equity,483,-48,28,-507,858,-144,930,569,867,526,802,562,761,501,887,630,-753,1000,-92,886
GALP PL Equity,60,714,350,411,-174,84,56,-154,-38,-161,-114,-132,124,-279,55,161,339,-92,1000,-67
T CN Equity,446,-57,170,-658,926,180,882,398,871,303,728,593,821,589,871,786,-794,886,-67,1000
